"abbreviation"	"machine_readable_name"	"name"	"description"	"group"	"subgroup"	"unit"
"140"	"L-HDL-FC"	"L_HDL_FC"	"L-HDL-FC"	"Free cholesterol in large HDL"	"Lipoprotein subclasses"	"Large HDL"	"mmol/l"
"141"	"L-HDL-TG"	"L_HDL_TG"	"L-HDL-TG"	"Triglycerides in large HDL"	"Lipoprotein subclasses"	"Large HDL"	"mmol/l"
"142"	"M-HDL-P"	"M_HDL_P"	"M-HDL-P"	"Concentration of medium HDL particles"	"Lipoprotein subclasses"	"Medium HDL"	"mol/l"
"143"	"M-HDL-L"	"M_HDL_L"	"M-HDL-L"	"Total lipids in medium HDL"	"Lipoprotein subclasses"	"Medium HDL"	"mmol/l"
"144"	"M-HDL-PL"	"M_HDL_PL"	"M-HDL-PL"	"Phospholipids in medium HDL"	"Lipoprotein subclasses"	"Medium HDL"	"mmol/l"
"145"	"M-HDL-C"	"M_HDL_C"	"M-HDL-C"	"Cholesterol in medium HDL"	"Lipoprotein subclasses"	"Medium HDL"	"mmol/l"
"146"	"M-HDL-CE"	"M_HDL_CE"	"M-HDL-CE"	"Cholesteryl esters in medium HDL"	"Lipoprotein subclasses"	"Medium HDL"	"mmol/l"
"147"	"M-HDL-FC"	"M_HDL_FC"	"M-HDL-FC"	"Free cholesterol in medium HDL"	"Lipoprotein subclasses"	"Medium HDL"	"mmol/l"
"148"	"M-HDL-TG"	"M_HDL_TG"	"M-HDL-TG"	"Triglycerides in medium HDL"	"Lipoprotein subclasses"	"Medium HDL"	"mmol/l"
"149"	"S-HDL-P"	"S_HDL_P"	"S-HDL-P"	"Concentration of small HDL particles"	"Lipoprotein subclasses"	"Small HDL"	"mol/l"
"150"	"S-HDL-L"	"S_HDL_L"	"S-HDL-L"	"Total lipids in small HDL"	"Lipoprotein subclasses"	"Small HDL"	"mmol/l"
"151"	"S-HDL-PL"	"S_HDL_PL"	"S-HDL-PL"	"Phospholipids in small HDL"	"Lipoprotein subclasses"	"Small HDL"	"mmol/l"
"152"	"S-HDL-C"	"S_HDL_C"	"S-HDL-C"	"Cholesterol in small HDL"	"Lipoprotein subclasses"	"Small HDL"	"mmol/l"
"153"	"S-HDL-CE"	"S_HDL_CE"	"S-HDL-CE"	"Cholesteryl esters in small HDL"	"Lipoprotein subclasses"	"Small HDL"	"mmol/l"
"154"	"S-HDL-FC"	"S_HDL_FC"	"S-HDL-FC"	"Free cholesterol in small HDL"	"Lipoprotein subclasses"	"Small HDL"	"mmol/l"
"155"	"S-HDL-TG"	"S_HDL_TG"	"S-HDL-TG"	"Triglycerides in small HDL"	"Lipoprotein subclasses"	"Small HDL"	"mmol/l"
"156"	"VLDL size"	"VLDL_size"	"VLDL particle size"	"Average diameter for VLDL particles"	"Lipoprotein particle sizes"	"Lipoprotein particle sizes"	"nm"
"157"	"LDL size"	"LDL_size"	"LDL particle size"	"Average diameter for LDL particles"	"Lipoprotein particle sizes"	"Lipoprotein particle sizes"	"nm"
"158"	"HDL size"	"HDL_size"	"HDL particle size"	"Average diameter for HDL particles"	"Lipoprotein particle sizes"	"Lipoprotein particle sizes"	"nm"
"159"	"XXL-VLDL-PL %"	"XXL_VLDL_PL_pct"	"XXL-VLDL-PL %"	"Phospholipids to total lipids ratio in chylomicrons and extremely large VLDL"	"Relative lipoprotein lipid concentrations"	"Chylomicrons and extremely large VLDL ratios"	"%"
"160"	"XXL-VLDL-C %"	"XXL_VLDL_C_pct"	"XXL-VLDL-C %"	"Cholesterol to total lipids ratio in chylomicrons and extremely large VLDL"	"Relative lipoprotein lipid concentrations"	"Chylomicrons and extremely large VLDL ratios"	"%"
"161"	"XXL-VLDL-CE %"	"XXL_VLDL_CE_pct"	"XXL-VLDL-CE %"	"Cholesteryl esters to total lipids ratio in chylomicrons and extremely large VLDL"	"Relative lipoprotein lipid concentrations"	"Chylomicrons and extremely large VLDL ratios"	"%"
"162"	"XXL-VLDL-FC %"	"XXL_VLDL_FC_pct"	"XXL-VLDL-FC %"	"Free cholesterol to total lipids ratio in chylomicrons and extremely large VLDL"	"Relative lipoprotein lipid concentrations"	"Chylomicrons and extremely large VLDL ratios"	"%"
"163"	"XXL-VLDL-TG %"	"XXL_VLDL_TG_pct"	"XXL-VLDL-TG %"	"Triglycerides to total lipids ratio in chylomicrons and extremely large VLDL"	"Relative lipoprotein lipid concentrations"	"Chylomicrons and extremely large VLDL ratios"	"%"
"164"	"XL-VLDL-PL %"	"XL_VLDL_PL_pct"	"XL-VLDL-PL %"	"Phospholipids to total lipids ratio in very large VLDL"	"Relative lipoprotein lipid concentrations"	"Very large VLDL ratios"	"%"
